Id,target_chr,target_start,target_end,grna_target_chr,grna_target_start,grna_target_end,cleavage_freq,location
0,11,5248198,5248220,11,5248198,5248220,0.787589,5248209
1,1,38230662,38230684,11,5248198,5248220,0.000384,38230673
2,1,177593963,177593985,11,5248198,5248220,0.000305,177593974
3,1,191839001,191839023,11,5248198,5248220,0,191839012
4,2,91869704,91869726,11,5248198,5248220,4.80E-05,91869715
5,2,112686726,112686748,11,5248198,5248220,0.005155,112686737
6,2,75133135,75133157,11,5248198,5248220,0,75133146
7,2,211832273,211832295,11,5248198,5248220,0,211832284
8,2,240591533,240591555,11,5248198,5248220,0,240591544
9,3,3662539,3662561,11,5248198,5248220,9.70E-05,3662550
10,3,19957628,19957650,11,5248198,5248220,0.00021,19957639
11,3,104567545,104567567,11,5248198,5248220,0.000285,104567556
12,4,45763598,45763620,11,5248198,5248220,0,45763609
13,4,48091811,48091833,11,5248198,5248220,0,48091822
14,4,55979539,55979561,11,5248198,5248220,0,55979550
15,0,0,0,11,5248198,5248220,0,0
16,4,125564263,125564282,11,5248198,5248220,0,125564272.5
17,4,148531357,148531379,11,5248198,5248220,7.00E-05,148531368
18,4,151226679,151226701,11,5248198,5248220,0,151226690
19,4,165593731,165593753,11,5248198,5248220,0,165593742
20,5,14347033,14347055,11,5248198,5248220,6.10E-05,14347044
21,2,33044942,33044961,11,5248198,5248220,0.000294,33044951.5
22,5,131423379,131423401,11,5248198,5248220,0.00015,131423390
23,6,23709573,23709595,11,5248198,5248220,4.50E-05,23709584
24,6,50041355,50041377,11,5248198,5248220,0,50041366
25,6,80093913,80093935,11,5248198,5248220,4.30E-05,80093924
26,6,85738197,85738219,11,5248198,5248220,5.30E-05,85738208
27,6,156371502,156371524,11,5248198,5248220,3.70E-05,156371513
28,8,41296578,41296600,11,5248198,5248220,0,41296589
29,8,134024441,134024463,11,5248198,5248220,0,134024452
30,9,78341053,78341075,11,5248198,5248220,0,78341064
31,9,104595866,104595888,11,5248198,5248220,0.857651,104595877
32,9,134609667,134609689,11,5248198,5248220,0,134609678
33,9,134994947,134994969,11,5248198,5248220,0,134994958
34,10,71843311,71843333,11,5248198,5248220,5.40E-05,71843322
35,10,72286444,72286466,11,5248198,5248220,0.000182,72286455
36,10,73555685,73555707,11,5248198,5248220,0,73555696
37,10,73563377,73563396,11,5248198,5248220,0.0036,73563386.5
